"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 27 17:37:12 CST 2020","Sat Jun 27 17:37:12 CST 2020","3","scripts","test_step","TestSetup","","","test_001","添加测试步骤"
"failed","Sat Jun 27 17:37:12 CST 2020","Sat Jun 27 17:37:12 CST 2020","1","scripts","test_step","TestSetup","","","test_002",""
